ID, Name, Degree
"Asturias Airport", OVD, 52
"Lombok International Airport", LOP, 52
"Syamsudin Noor Airport", BDJ, 52
"Del Baj�o International Airport", BJX, 52
"Francisco Bangoy International Airport", DVO, 51
"Nairobi Wilson Airport", WIL, 51
"Graz Airport", GRZ, 51
"Jining Qufu Airport", JNG, 51
"Lihue Airport", LIH, 51
"Yuzhno-Sakhalinsk Airport", UUS, 51
"Nador International Airport", NDR, 51
"Rennes-Saint-Jacques Airport", RNS, 51
"Key West International Airport", EYW, 50
"Kaunas International Airport", KUN, 50
"Bob Hope Airport", BUR, 50
"Roland Garros Airport", RUN, 50
"Adana Airport", ADA, 50
"Iasi Airport", IAS, 50
"Senai International Airport", JHB, 49
"Spokane International Airport", GEG, 49
"Nome Airport", OME, 49
"Hewanorra International Airport", UVF, 49
"Djibouti-Ambouli Airport", JIB, 49
"Huangyan Luqiao Airport", HYN, 49
"Mohamed Boudiaf International Airport", CZL, 49
"Ashgabat International Airport", ASB, 49
"Diori Hamani International Airport", NIM, 49
"Ganzhou Airport", KOW, 49
"Lal Bahadur Shastri Airport", VNS, 49
